Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRA24,19.35,Regular,0.039895009,Soft Drinks,162.4868,OUT013,1987,High,Tier 3,Supermarket Type1,4422.2436
FDW19,12.35,Regular,0.064441812,Fruits and Vegetables,110.957,OUT010,1998,,Tier 3,Grocery Store,219.714
NCT05,10.895,Low Fat,0.020934413,Health and Hygiene,256.5672,OUT013,1987,High,Tier 3,Supermarket Type1,4090.6752
FDR26,20.7,Low Fat,0.04307908,Dairy,177.8028,OUT017,2007,,Tier 2,Supermarket Type1,1239.7196
FDC53,8.68,Low Fat,0.008871687,Frozen Foods,99.7384,OUT018,2009,Medium,Tier 3,Supermarket Type2,295.6152
FDE34,9.195,Low Fat,0.108330902,Snack Foods,183.6634,OUT018,2009,Medium,Tier 3,Supermarket Type2,2726.451
FDK40,7.035,Low Fat,0.0,Frozen Foods,263.291,OUT010,1998,,Tier 3,Grocery Store,525.982
FDZ35,9.6,Regular,0.022404493,Breads,102.499,OUT017,2007,,Tier 2,Supermarket Type1,2579.975
FDX09,,Low Fat,0.064933297,Snack Foods,174.837,OUT027,1985,Medium,Tier 3,Supermarket Type3,4763.799
FDQ11,5.695,Regular,0.06797671,Breads,257.4988,OUT018,2009,Medium,Tier 3,Supermarket Type2,3083.9856
FDQ36,7.855,Regular,0.162205516,Baking Goods,36.2848,OUT018,2009,Medium,Tier 3,Supermarket Type2,1155.8288
FDS07,12.35,Low Fat,0.100164204,Fruits and Vegetables,113.6518,OUT018,2009,Medium,Tier 3,Supermarket Type2,1593.9252
DRH23,14.65,Low Fat,0.170663661,Hard Drinks,56.4614,OUT045,2002,,Tier 2,Supermarket Type1,1436.7964
FDN25,7.895,Regular,0.061270647,Breakfast,56.7588,OUT049,1999,Medium,Tier 1,Supermarket Type1,343.5528
FDT16,9.895,Regular,0.048761046,Frozen Foods,260.5278,OUT045,2002,,Tier 2,Supermarket Type1,8851.1452
FDR02,16.7,LF,0.022190488,Dairy,113.1886,OUT017,2007,,Tier 2,Supermarket Type1,3335.658
FDK27,,Low Fat,0.015664229,Meat,122.2756,OUT019,1985,Small,Tier 1,Grocery Store,121.1756
FDI15,13.8,Low Fat,0.141234932,Dairy,263.7884,OUT013,1987,High,Tier 3,Supermarket Type1,5564.7564
NCJ06,20.1,Low Fat,0.034646067,Household,120.6782,OUT035,2004,Small,Tier 2,Supermarket Type1,1310.9602
NCS18,12.65,Low Fat,0.042296724,Household,106.3938,OUT045,2002,,Tier 2,Supermarket Type1,3751.783
FDC33,8.96,Regular,0.06893834,Fruits and Vegetables,196.4768,OUT046,1997,Small,Tier 1,Supermarket Type1,2561.9984
FDC51,10.895,Regular,0.009641375,Dairy,124.173,OUT045,2002,,Tier 2,Supermarket Type1,1601.249
DRG37,16.2,Low Fat,0.019457372,Soft Drinks,153.9972,OUT018,2009,Medium,Tier 3,Supermarket Type2,1246.3776
FDK26,5.46,Regular,0.032359413,Canned,187.424,OUT017,2007,,Tier 2,Supermarket Type1,3169.208
FDZ55,,Low Fat,0.02528566,Fruits and Vegetables,158.792,OUT027,1985,Medium,Tier 3,Supermarket Type3,4474.176
DRL60,8.52,Low Fat,0.027169589,Soft Drinks,151.0682,OUT018,2009,Medium,Tier 3,Supermarket Type2,1829.6184
NCP18,12.15,Low Fat,0.028642712,Household,149.0708,OUT049,1999,Medium,Tier 1,Supermarket Type1,1203.7664
FDR52,12.65,Regular,0.075981306,Frozen Foods,192.3846,OUT013,1987,High,Tier 3,Supermarket Type1,1910.846
FDL20,,Low Fat,0.224837308,Fruits and Vegetables,112.7886,OUT019,1985,Small,Tier 1,Grocery Store,222.3772
FDH20,16.1,Regular,0.024987903,Fruits and Vegetables,97.341,OUT049,1999,Medium,Tier 1,Supermarket Type1,1255.033
FDL39,16.1,Regular,0.063689583,Dairy,181.9318,OUT017,2007,,Tier 2,Supermarket Type1,5954.2494
FDW55,12.6,Regular,0.036773101,Fruits and Vegetables,250.3092,OUT010,1998,,Tier 3,Grocery Store,249.0092
FDG10,6.63,Regular,0.01098386,Snack Foods,55.4588,OUT018,2009,Medium,Tier 3,Supermarket Type2,343.5528
NCB43,20.2,Low Fat,0.099893424,Household,187.6898,OUT035,2004,Small,Tier 2,Supermarket Type1,3928.8858
FDD38,16.75,Regular,0.008208342,Canned,102.8674,OUT045,2002,,Tier 2,Supermarket Type1,1528.011
FDO09,13.5,Regular,0.125528734,Snack Foods,262.191,OUT045,2002,,Tier 2,Supermarket Type1,6048.793
FDR60,14.3,Low Fat,0.130415118,Baking Goods,75.9328,OUT046,1997,Small,Tier 1,Supermarket Type1,1158.492
FDG21,,Regular,0.256152243,Seafood,151.005,OUT019,1985,Small,Tier 1,Grocery Store,149.805
FDM13,6.425,Low Fat,0.063432676,Breakfast,132.8626,OUT018,2009,Medium,Tier 3,Supermarket Type2,524.6504
FDX51,9.5,Regular,0.022093019,Meat,195.9452,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.9424
NCT54,8.695,Low Fat,0.119721451,Household,95.5094,OUT049,1999,Medium,Tier 1,Supermarket Type1,1237.7222
NCR53,12.15,Low Fat,0.14526636,Health and Hygiene,224.0404,OUT049,1999,Medium,Tier 1,Supermarket Type1,3375.606
NCE06,,Low Fat,0.091042211,Household,162.6894,OUT027,1985,Medium,Tier 3,Supermarket Type3,2588.6304
FDO13,7.865,Low Fat,0.061154604,Breakfast,165.3526,OUT049,1999,Medium,Tier 1,Supermarket Type1,1151.1682
NCS54,13.6,Low Fat,0.010013429,Household,176.437,OUT045,2002,,Tier 2,Supermarket Type1,4587.362
FDY10,17.6,Low Fat,0.049144165,Snack Foods,112.7176,OUT049,1999,Medium,Tier 1,Supermarket Type1,1717.764
FDG32,,low fat,0.17514326,Fruits and Vegetables,222.3772,OUT027,1985,Medium,Tier 3,Supermarket Type3,9562.2196
FDW59,,Low Fat,0.03627089,Breads,85.9566,OUT019,1985,Small,Tier 1,Grocery Store,169.1132
DRF25,,Low Fat,0.068153091,Soft Drinks,36.019,OUT019,1985,Small,Tier 1,Grocery Store,73.238
FDU27,,Regular,0.170646494,Meat,46.3376,OUT027,1985,Medium,Tier 3,Supermarket Type3,2109.2544
FDQ04,6.4,Low Fat,0.141860161,Frozen Foods,41.0796,OUT010,1998,,Tier 3,Grocery Store,41.2796
NCC43,7.39,low fat,0.092705683,Household,251.9066,OUT013,1987,High,Tier 3,Supermarket Type1,4267.1122
DRI01,7.97,Low Fat,0.057667173,Soft Drinks,172.1422,OUT010,1998,,Tier 3,Grocery Store,517.3266
NCV41,14.35,Low Fat,0.017108186,Health and Hygiene,110.3228,OUT018,2009,Medium,Tier 3,Supermarket Type2,552.614
FDR15,9.3,Regular,0.03362713,Meat,156.1314,OUT017,2007,,Tier 2,Supermarket Type1,620.5256
FDZ40,8.935,Low Fat,0.040245222,Frozen Foods,54.9298,OUT049,1999,Medium,Tier 1,Supermarket Type1,1348.245
FDT43,16.35,Low Fat,0.020579897,Fruits and Vegetables,52.1324,OUT049,1999,Medium,Tier 1,Supermarket Type1,934.7832
FDU26,,Regular,0.042412572,Dairy,119.0782,OUT027,1985,Medium,Tier 3,Supermarket Type3,1549.3166
FDC47,15.0,Low Fat,0.119374946,Snack Foods,229.3694,OUT018,2009,Medium,Tier 3,Supermarket Type2,5024.1268
FDE45,12.1,Low Fat,0.040357315,Fruits and Vegetables,177.8002,OUT046,1997,Small,Tier 1,Supermarket Type1,1611.9018
FDU10,10.1,Regular,0.045950475,Snack Foods,38.2848,OUT017,2007,,Tier 2,Supermarket Type1,1230.3984
FDL13,13.85,Regular,0.056637129,Breakfast,233.83,OUT017,2007,,Tier 2,Supermarket Type1,2796.36
FDH22,6.405,Low Fat,0.136275173,Snack Foods,128.1678,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.3424
FDM21,20.2,Low Fat,0.064728148,Snack Foods,258.0646,OUT017,2007,,Tier 2,Supermarket Type1,5668.6212
NCF42,17.35,Low Fat,0.167383061,Household,175.6712,OUT046,1997,Small,Tier 1,Supermarket Type1,2812.3392
NCO30,,Low Fat,0.027532258,Household,185.0608,OUT019,1985,Small,Tier 1,Grocery Store,551.2824
FDB59,18.25,Low Fat,0.015278899,Snack Foods,199.0084,OUT046,1997,Small,Tier 1,Supermarket Type1,3174.5344
NCN17,11.0,Low Fat,0.054939029,Health and Hygiene,101.4358,OUT046,1997,Small,Tier 1,Supermarket Type1,1608.5728
FDW01,14.5,Low Fat,0.064048405,Canned,153.4682,OUT035,2004,Small,Tier 2,Supermarket Type1,1677.1502
FDV55,17.75,Low Fat,0.055159054,Fruits and Vegetables,145.6444,OUT049,1999,Medium,Tier 1,Supermarket Type1,2467.4548
FDA33,6.48,Low Fat,0.033968647,Snack Foods,148.0076,OUT045,2002,,Tier 2,Supermarket Type1,886.8456
FDN25,7.895,Regular,0.061424738,Breakfast,57.7588,OUT018,2009,Medium,Tier 3,Supermarket Type2,1145.176
DRH03,17.25,low fat,0.035118834,Dairy,93.412,OUT049,1999,Medium,Tier 1,Supermarket Type1,932.12
FDV03,17.6,Low Fat,0.058209079,Meat,153.6314,OUT045,2002,,Tier 2,Supermarket Type1,5274.4676
FDI56,7.325,Low Fat,0.156307983,Fruits and Vegetables,92.2146,OUT010,1998,,Tier 3,Grocery Store,91.2146
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153
FDZ20,16.1,Low Fat,0.057422821,Fruits and Vegetables,253.7356,OUT010,1998,,Tier 3,Grocery Store,508.6712
DRL37,15.5,Low Fat,0.053480419,Soft Drinks,42.377,OUT045,2002,,Tier 2,Supermarket Type1,1211.756
FDD51,11.15,Low Fat,0.120139206,Dairy,45.0744,OUT049,1999,Medium,Tier 1,Supermarket Type1,452.744
FDF12,8.235,Low Fat,0.08276363,Baking Goods,146.5076,OUT018,2009,Medium,Tier 3,Supermarket Type2,1625.8836
FDS55,7.02,Low Fat,0.0,Fruits and Vegetables,148.1734,OUT018,2009,Medium,Tier 3,Supermarket Type2,890.8404
NCH07,13.15,Low Fat,0.09264951,Household,157.8604,OUT035,2004,Small,Tier 2,Supermarket Type1,3803.0496
NCL29,,Low Fat,0.113387677,Health and Hygiene,156.9604,OUT027,1985,Medium,Tier 3,Supermarket Type3,1584.604
FDP21,,Regular,0.045068892,Snack Foods,190.8872,OUT019,1985,Small,Tier 1,Grocery Store,945.436
FDI19,15.1,Low Fat,0.087604871,Meat,242.2512,OUT010,1998,,Tier 3,Grocery Store,484.7024
FDI41,18.5,Regular,0.062510529,Frozen Foods,146.8418,OUT018,2009,Medium,Tier 3,Supermarket Type2,2059.9852
FDS36,8.38,Regular,0.046982429,Baking Goods,108.157,OUT045,2002,,Tier 2,Supermarket Type1,549.285
FDH02,7.27,Regular,0.020898691,Canned,92.2488,OUT017,2007,,Tier 2,Supermarket Type1,814.9392
FDZ09,17.6,Low Fat,0.104791689,Snack Foods,165.2868,OUT013,1987,High,Tier 3,Supermarket Type1,3111.9492
DRF25,9.0,Low Fat,0.03898577,Soft Drinks,34.619,OUT049,1999,Medium,Tier 1,Supermarket Type1,732.38
FDK38,6.65,Low Fat,0.053506996,Canned,150.0734,OUT018,2009,Medium,Tier 3,Supermarket Type2,3563.3616
NCN18,8.895,Low Fat,0.125222705,Household,113.3544,OUT018,2009,Medium,Tier 3,Supermarket Type2,1006.6896
FDY25,12.0,Low Fat,0.033946163,Canned,179.3976,OUT013,1987,High,Tier 3,Supermarket Type1,3440.8544
NCO43,5.5,Low Fat,0.047059016,Others,100.1016,OUT013,1987,High,Tier 3,Supermarket Type1,2125.2336
FDB11,16.0,LF,0.061192211,Starchy Foods,224.1404,OUT017,2007,,Tier 2,Supermarket Type1,4725.8484
FDG22,17.6,Regular,0.041373331,Snack Foods,38.119,OUT035,2004,Small,Tier 2,Supermarket Type1,732.38
FDH24,20.7,Low Fat,0.021431134,Baking Goods,157.0288,OUT046,1997,Small,Tier 1,Supermarket Type1,2199.8032
FDX38,10.5,Regular,0.048207017,Dairy,45.9376,OUT046,1997,Small,Tier 1,Supermarket Type1,575.2512
FDV20,20.2,Regular,0.059894378,Fruits and Vegetables,125.9678,OUT049,1999,Medium,Tier 1,Supermarket Type1,2797.6916
FDD50,18.85,Low Fat,0.141642219,Canned,168.1132,OUT046,1997,Small,Tier 1,Supermarket Type1,2874.9244
FDN48,13.35,Low Fat,0.065082452,Baking Goods,93.0804,OUT045,2002,,Tier 2,Supermarket Type1,2113.2492
FDR35,12.5,Low Fat,0.020697723,Breads,198.8742,OUT046,1997,Small,Tier 1,Supermarket Type1,5773.1518
FDN04,,Regular,0.01401884,Frozen Foods,178.1344,OUT027,1985,Medium,Tier 3,Supermarket Type3,3747.1224
FDR08,18.7,Low Fat,0.03761584,Fruits and Vegetables,109.1886,OUT035,2004,Small,Tier 2,Supermarket Type1,1890.2062
FDJ58,15.6,Regular,0.105725004,Snack Foods,169.9764,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.4224
FDR04,7.075,Low Fat,0.022602061,Frozen Foods,98.1068,OUT049,1999,Medium,Tier 1,Supermarket Type1,1458.102
FDW12,8.315,Regular,0.035542581,Baking Goods,143.3444,OUT013,1987,High,Tier 3,Supermarket Type1,1596.5884
FDT09,,Regular,0.012203915,Snack Foods,133.2284,OUT027,1985,Medium,Tier 3,Supermarket Type3,4350.3372
FDZ48,17.75,Low Fat,0.07626905,Baking Goods,113.1544,OUT018,2009,Medium,Tier 3,Supermarket Type2,1006.6896
DRN37,9.6,low fat,0.09627919,Soft Drinks,167.3158,OUT035,2004,Small,Tier 2,Supermarket Type1,1838.2738
FDA07,7.55,Regular,0.030992735,Fruits and Vegetables,124.3072,OUT049,1999,Medium,Tier 1,Supermarket Type1,2695.1584
NCJ17,7.68,Low Fat,0.152865879,Health and Hygiene,84.9224,OUT045,2002,,Tier 2,Supermarket Type1,1619.2256
NCR54,16.35,Low Fat,0.0,Household,198.211,OUT035,2004,Small,Tier 2,Supermarket Type1,2946.165
NCQ53,17.6,Low Fat,0.018982338,Health and Hygiene,237.059,OUT018,2009,Medium,Tier 3,Supermarket Type2,2836.308
FDK14,6.98,Low Fat,0.041105789,Canned,83.4934,OUT046,1997,Small,Tier 1,Supermarket Type1,1555.9746
FDE36,5.26,Regular,0.042008667,Baking Goods,162.6868,OUT017,2007,,Tier 2,Supermarket Type1,3767.0964
DRA12,11.6,Low Fat,0.068535039,Soft Drinks,143.0154,OUT010,1998,,Tier 3,Grocery Store,283.6308
FDW57,8.31,reg,0.116148596,Snack Foods,176.0028,OUT018,2009,Medium,Tier 3,Supermarket Type2,4427.57
NCX41,19.0,Low Fat,0.017719277,Health and Hygiene,211.0244,OUT046,1997,Small,Tier 1,Supermarket Type1,3811.0392
FDG05,11.0,Regular,0.087847141,Frozen Foods,156.863,OUT046,1997,Small,Tier 1,Supermarket Type1,2972.797
NCA53,,Low Fat,0.017295906,Health and Hygiene,47.1034,OUT019,1985,Small,Tier 1,Grocery Store,145.8102
FDV28,16.1,Regular,0.159595473,Frozen Foods,32.8558,OUT013,1987,High,Tier 3,Supermarket Type1,339.558
FDT40,5.985,Low Fat,0.0,Frozen Foods,125.2678,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.3424
DRH39,20.7,Low Fat,0.09261307,Dairy,76.367,OUT013,1987,High,Tier 3,Supermarket Type1,306.268
NCM07,9.395,Low Fat,0.039961837,Others,84.0908,OUT046,1997,Small,Tier 1,Supermarket Type1,419.454
FDX33,,Regular,0.116915909,Snack Foods,159.4578,OUT027,1985,Medium,Tier 3,Supermarket Type3,4974.1918
FDE17,20.1,Regular,0.054565932,Frozen Foods,152.2366,OUT045,2002,,Tier 2,Supermarket Type1,2418.1856
FDI60,7.22,Regular,0.038477325,Baking Goods,62.951,OUT018,2009,Medium,Tier 3,Supermarket Type2,1138.518
FDX03,15.85,Regular,0.061045133,Meat,44.7744,OUT013,1987,High,Tier 3,Supermarket Type1,181.0976
FDC41,15.6,Low Fat,0.116815953,Frozen Foods,75.567,OUT013,1987,High,Tier 3,Supermarket Type1,1684.474
FDL20,17.1,Low Fat,0.128390273,Fruits and Vegetables,111.9886,OUT035,2004,Small,Tier 2,Supermarket Type1,1445.4518
FDL27,6.17,Low Fat,0.010652508,Meat,65.6826,OUT045,2002,,Tier 2,Supermarket Type1,774.9912
FDS09,,Regular,0.141975462,Snack Foods,49.6008,OUT019,1985,Small,Tier 1,Grocery Store,50.6008
FDI32,,Low Fat,0.173529036,Fruits and Vegetables,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,4376.9692
FDA39,6.32,Low Fat,0.012707362,Meat,41.0822,OUT013,1987,High,Tier 3,Supermarket Type1,942.7728
DRG36,14.15,LF,0.095360186,Soft Drinks,172.3106,OUT035,2004,Small,Tier 2,Supermarket Type1,3251.1014
FDY48,14.0,Low Fat,0.023783007,Baking Goods,104.0332,OUT045,2002,,Tier 2,Supermarket Type1,1435.4648
FDZ38,17.6,Low Fat,0.008046275,Dairy,173.7422,OUT017,2007,,Tier 2,Supermarket Type1,5863.0348
FDW09,13.65,Regular,0.043386131,Snack Foods,80.2302,OUT010,1998,,Tier 3,Grocery Store,79.2302
FDT40,5.985,Low Fat,0.096337184,Frozen Foods,125.2678,OUT017,2007,,Tier 2,Supermarket Type1,763.0068
FDL57,15.1,Regular,0.067181098,Snack Foods,258.8304,OUT049,1999,Medium,Tier 1,Supermarket Type1,5424.9384
DRO47,10.195,Low Fat,0.112399145,Hard Drinks,111.686,OUT049,1999,Medium,Tier 1,Supermarket Type1,2263.72
DRJ39,20.25,Low Fat,0.036474041,Dairy,218.3482,OUT018,2009,Medium,Tier 3,Supermarket Type2,2409.5302
NCS30,5.945,Low Fat,0.155706798,Household,127.9652,OUT010,1998,,Tier 3,Grocery Store,645.826
FDI33,,Low Fat,0.028281197,Snack Foods,90.2146,OUT027,1985,Medium,Tier 3,Supermarket Type3,3648.584
FDU49,19.5,Regular,0.030742083,Canned,85.554,OUT049,1999,Medium,Tier 1,Supermarket Type1,1211.756
NCW18,15.1,Low Fat,0.059275452,Household,238.9248,OUT013,1987,High,Tier 3,Supermarket Type1,6636.6944
FDX20,7.365,Low Fat,0.042733625,Fruits and Vegetables,226.972,OUT018,2009,Medium,Tier 3,Supermarket Type2,3848.324
NCZ30,6.59,Low Fat,0.043828293,Household,121.4098,OUT010,1998,,Tier 3,Grocery Store,241.0196
DRD24,13.85,Low Fat,0.030769458,Soft Drinks,141.7154,OUT013,1987,High,Tier 3,Supermarket Type1,2978.1234
DRG11,6.385,Low Fat,0.0,Hard Drinks,108.9596,OUT046,1997,Small,Tier 1,Supermarket Type1,1186.4556
DRG11,6.385,Low Fat,0.14032811,Hard Drinks,109.1596,OUT010,1998,,Tier 3,Grocery Store,107.8596
FDY27,,Low Fat,0.031743707,Dairy,179.1344,OUT027,1985,Medium,Tier 3,Supermarket Type3,1605.9096
NCX06,17.6,Low Fat,0.015750947,Household,182.5976,OUT018,2009,Medium,Tier 3,Supermarket Type2,1629.8784
FDZ52,19.2,Low Fat,0.099991245,Frozen Foods,112.7886,OUT013,1987,High,Tier 3,Supermarket Type1,1779.0176
DRK47,7.905,Low Fat,0.06406438,Hard Drinks,229.2694,OUT046,1997,Small,Tier 1,Supermarket Type1,1826.9552
FDV55,17.75,Low Fat,0.05507343,Fruits and Vegetables,145.1444,OUT046,1997,Small,Tier 1,Supermarket Type1,1886.8772
FDP01,20.75,Regular,0.105994654,Breakfast,150.5682,OUT010,1998,,Tier 3,Grocery Store,762.341
FDJ07,,Low Fat,0.014353676,Meat,115.515,OUT027,1985,Medium,Tier 3,Supermarket Type3,1631.21
DRE60,9.395,Low Fat,0.159582185,Soft Drinks,224.772,OUT049,1999,Medium,Tier 1,Supermarket Type1,7017.532
FDZ31,15.35,Regular,0.113195815,Fruits and Vegetables,190.8504,OUT035,2004,Small,Tier 2,Supermarket Type1,3643.2576
NCP06,20.7,Low Fat,0.039306822,Household,150.7366,OUT049,1999,Medium,Tier 1,Supermarket Type1,3325.0052
FDU12,15.5,Regular,0.075736746,Baking Goods,265.5568,OUT035,2004,Small,Tier 2,Supermarket Type1,4482.1656
NCP18,12.15,Low Fat,0.028656248,Household,149.3708,OUT045,2002,,Tier 2,Supermarket Type1,1203.7664
FDS45,,Regular,0.051643608,Snack Foods,107.3622,OUT019,1985,Small,Tier 1,Grocery Store,317.5866
NCK17,11.0,Low Fat,0.038109194,Health and Hygiene,40.948,OUT017,2007,,Tier 2,Supermarket Type1,479.376
DRL59,16.75,Low Fat,0.021220113,Hard Drinks,55.1298,OUT035,2004,Small,Tier 2,Supermarket Type1,1240.3854
FDQ56,6.59,Low Fat,0.106027474,Fruits and Vegetables,83.9908,OUT018,2009,Medium,Tier 3,Supermarket Type2,1426.1436
FDR45,10.8,Low Fat,0.029107004,Snack Foods,240.5222,OUT017,2007,,Tier 2,Supermarket Type1,4541.4218
FDJ41,6.85,Low Fat,0.03830192,Frozen Foods,261.2594,OUT010,1998,,Tier 3,Grocery Store,1046.6376
DRI23,18.85,Low Fat,0.137410256,Hard Drinks,161.7578,OUT049,1999,Medium,Tier 1,Supermarket Type1,1604.578
FDE28,9.5,Regular,0.221856492,Frozen Foods,231.8668,OUT010,1998,,Tier 3,Grocery Store,230.3668
FDV60,20.2,Regular,0.117839328,Baking Goods,195.211,OUT018,2009,Medium,Tier 3,Supermarket Type2,2356.932
DRZ24,7.535,Low Fat,0.081914677,Soft Drinks,120.344,OUT049,1999,Medium,Tier 1,Supermarket Type1,3835.008
FDV37,13.0,Regular,0.083444376,Canned,195.8426,OUT013,1987,High,Tier 3,Supermarket Type1,4152.5946
FDW03,5.63,Regular,0.024579432,Meat,105.3306,OUT049,1999,Medium,Tier 1,Supermarket Type1,1045.306
NCP42,,Low Fat,0.028207784,Household,195.5478,OUT019,1985,Small,Tier 1,Grocery Store,387.4956
FDR21,19.7,Low Fat,0.066922802,Snack Foods,174.837,OUT035,2004,Small,Tier 2,Supermarket Type1,2999.429
DRD37,9.8,Low Fat,0.013869809,Soft Drinks,47.406,OUT045,2002,,Tier 2,Supermarket Type1,978.726
NCT42,5.88,Low Fat,0.024937792,Household,148.4392,OUT045,2002,,Tier 2,Supermarket Type1,2087.9488
NCP06,,Low Fat,0.039055756,Household,152.3366,OUT027,1985,Medium,Tier 3,Supermarket Type3,2115.9124
DRD15,10.6,Low Fat,0.056785183,Dairy,231.9642,OUT035,2004,Small,Tier 2,Supermarket Type1,2091.2778
FDY15,,Regular,0.299097859,Dairy,157.863,OUT019,1985,Small,Tier 1,Grocery Store,469.389
FDI46,9.5,Low Fat,0.074345268,Snack Foods,251.9724,OUT046,1997,Small,Tier 1,Supermarket Type1,3523.4136
FDW55,12.6,Regular,0.021969896,Fruits and Vegetables,248.6092,OUT046,1997,Small,Tier 1,Supermarket Type1,3237.1196
FDY51,12.5,Low Fat,0.081465335,Meat,220.7798,OUT018,2009,Medium,Tier 3,Supermarket Type2,6611.394
DRA24,,Regular,0.039734882,Soft Drinks,165.7868,OUT027,1985,Medium,Tier 3,Supermarket Type3,4913.604
FDK55,18.5,Low Fat,0.025740259,Meat,89.4172,OUT013,1987,High,Tier 3,Supermarket Type1,1605.9096
NCE07,8.18,Low Fat,0.013130031,Household,142.6154,OUT046,1997,Small,Tier 1,Supermarket Type1,709.077
FDI41,,Regular,0.109003832,Frozen Foods,145.2418,OUT019,1985,Small,Tier 1,Grocery Store,147.1418
FDD41,6.765,Regular,0.087187488,Frozen Foods,105.5306,OUT013,1987,High,Tier 3,Supermarket Type1,1567.959
FDM04,9.195,Regular,0.04731256,Frozen Foods,50.7666,OUT018,2009,Medium,Tier 3,Supermarket Type2,512.666
FDN28,5.88,Regular,0.030242184,Frozen Foods,101.799,OUT035,2004,Small,Tier 2,Supermarket Type1,515.995
NCB06,17.6,Low Fat,0.08226356,Health and Hygiene,160.492,OUT013,1987,High,Tier 3,Supermarket Type1,1278.336
FDV16,7.75,Regular,0.083059634,Frozen Foods,35.7558,OUT049,1999,Medium,Tier 1,Supermarket Type1,611.2044
FDT27,11.395,Regular,0.069587171,Meat,234.6616,OUT046,1997,Small,Tier 1,Supermarket Type1,4687.232
DRF15,18.35,LF,0.0,Dairy,151.934,OUT013,1987,High,Tier 3,Supermarket Type1,306.268
NCQ17,,Low Fat,0.116366304,Health and Hygiene,158.363,OUT027,1985,Medium,Tier 3,Supermarket Type3,4068.038
NCM31,6.095,Low Fat,0.081196619,Others,141.4154,OUT046,1997,Small,Tier 1,Supermarket Type1,1418.154
DRJ11,9.5,Low Fat,0.085437778,Hard Drinks,188.4872,OUT018,2009,Medium,Tier 3,Supermarket Type2,3592.6568
FDT21,7.42,Low Fat,0.020391845,Snack Foods,248.9092,OUT046,1997,Small,Tier 1,Supermarket Type1,2241.0828
FDD40,20.25,Regular,0.014793357,Dairy,191.5162,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592
FDD57,18.1,Low Fat,0.022395357,Fruits and Vegetables,96.5094,OUT035,2004,Small,Tier 2,Supermarket Type1,1332.9316
FDC10,,Regular,0.127599399,Snack Foods,118.9098,OUT019,1985,Small,Tier 1,Grocery Store,120.5098
FDO19,17.7,Regular,0.016593506,Fruits and Vegetables,46.9034,OUT035,2004,Small,Tier 2,Supermarket Type1,972.068
FDP59,20.85,Regular,0.056695731,Breads,104.0648,OUT018,2009,Medium,Tier 3,Supermarket Type2,1869.5664
DRE25,15.35,Low Fat,0.073269336,Soft Drinks,92.112,OUT035,2004,Small,Tier 2,Supermarket Type1,1118.544
NCP30,,Low Fat,0.032610007,Household,37.4822,OUT027,1985,Medium,Tier 3,Supermarket Type3,942.7728
FDM33,15.6,Low Fat,0.087719692,Snack Foods,218.5798,OUT046,1997,Small,Tier 1,Supermarket Type1,4407.596
FDX09,,Low Fat,0.114243048,Snack Foods,174.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437
FDX21,7.05,Low Fat,0.1422157,Snack Foods,108.7912,OUT010,1998,,Tier 3,Grocery Store,109.1912
FDW14,8.3,Regular,0.038204311,Dairy,87.7198,OUT035,2004,Small,Tier 2,Supermarket Type1,1831.6158
FDM16,8.155,Regular,0.033555399,Frozen Foods,74.7354,OUT046,1997,Small,Tier 1,Supermarket Type1,1655.1788
FDO31,6.76,Regular,0.029100745,Fruits and Vegetables,80.696,OUT018,2009,Medium,Tier 3,Supermarket Type2,559.272
FDP19,11.5,LF,0.290430317,Fruits and Vegetables,130.6652,OUT010,1998,,Tier 3,Grocery Store,258.3304
NCG07,12.3,Low Fat,0.052458358,Household,188.753,OUT013,1987,High,Tier 3,Supermarket Type1,3795.06
FDD14,20.7,Low Fat,0.170072462,Canned,183.8266,OUT049,1999,Medium,Tier 1,Supermarket Type1,1844.266
DRD27,,Low Fat,0.041740624,Dairy,98.3042,OUT019,1985,Small,Tier 1,Grocery Store,198.4084
FDD02,16.6,LF,0.0,Canned,118.8124,OUT046,1997,Small,Tier 1,Supermarket Type1,2607.2728
FDL21,15.85,Regular,0.007160908,Snack Foods,39.348,OUT045,2002,,Tier 2,Supermarket Type1,719.064
FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408
FDQ07,15.1,Regular,0.087762922,Fruits and Vegetables,221.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,2873.5928
FDU37,9.5,Regular,0.104421237,Canned,80.196,OUT013,1987,High,Tier 3,Supermarket Type1,2157.192
